Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Dexamethasone	SNAI2	0.999173437	0	0	0.999173437
Dexamethasone	OTC	0.999999999	0	0	0.999999999
Dexamethasone	SOS1	1	0	0	1
Dexamethasone	CCNG1	0.962920501	0	0	0.962920501
Dexamethasone	NFKBIB	0.984484351	0	0	0.984484351
Dexamethasone	RGN	0.931199391333333	0	0.0952380952380952	0.923957222
Dexamethasone	HDAC6	0.826587388	0	0	0.826587388
Dexamethasone	ITPR1	0.959698416	0	0	0.959698416
Dexamethasone	CSN2	0.973355596	0	0	0.973355596
Dexamethasone	ITGB2	0.999999822	0	0	0.999999822
Dexamethasone	ADGRE1	0.082938918	0	0	0.082938918
Dexamethasone	NOVA2	1	0	0	1
Dexamethasone	GAN	0.999853048	0	0	0.999853048
Dexamethasone	PIGA	0.999976767	0	0	0.999976767
Dexamethasone	TENM2	0.757129952	0	0	0.757129952
Dexamethasone	USF1	0.999988301	0	0	0.999988301
Dexamethasone	SECISBP2	0.00348048099999998	0	0	0.003480481
Dexamethasone	NBL1	1	0	0	1
Dexamethasone	METAP1	0.989778457	0	0	0.989778457
Dexamethasone	RHCE	0.947034877	0	0	0.947034877
Dexamethasone	LILRB4	0.778551783	0	0	0.778551783
Dexamethasone	OPHN1	0.27356543	0	0	0.27356543
Dexamethasone	CCDC80	0.778152301	0	0	0.778152301
Dexamethasone	ANPEP	1	0	0	1
Dexamethasone	SERPINA6	0.999999997	0	0	0.999999997
Dexamethasone	DYRK1A	0.999989923	0	0	0.999989923
Dexamethasone	PLD4	0.997565908	0	0	0.997565908
Dexamethasone	ACHE	1	0	0	1
Dexamethasone	MT-CYB	1	0	0	1
Dexamethasone	PRKCB	1	0	0	1
Dexamethasone	SLC40A1	0.985493066	0	0	0.985493066
Dexamethasone	SCX	0.898688186	0	0	0.898688186
Dexamethasone	ANGPTL7	0.771247209	0	0	0.771247209
Dexamethasone	NEDD1	0.320983327	0	0	0.320983327
Dexamethasone	TAZ	0.997745172	0	0	0.997745172
Dexamethasone	TUBA1B	0.0980329090000001	0	0	0.098032909
Dexamethasone	CD3G	0.350794971	0	0	0.350794971
Dexamethasone	PTPRK	0.187855594	0	0	0.187855594
Dexamethasone	HAND2	0.998018108	0	0	0.998018108
Dexamethasone	IKZF1	0.588089416	0	0	0.588089416
Dexamethasone	EIF3A	0.999981555	0	0	0.999981555
Dexamethasone	LARP6	0.824475736	0	0	0.824475736
Dexamethasone	IFT122	0.998955291	0	0	0.998955291
Dexamethasone	IFIT1	0.726161434	0	0	0.726161434
Dexamethasone	BICD1	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	PLIN1	0.994610767	0	0	0.994610767
Dexamethasone	FRAS1	0.566112964	0	0	0.566112964
Dexamethasone	DCD	0.999999999	0	0	0.999999999
Dexamethasone	TAAR5	0.999366021	0	0	0.999366021
Dexamethasone	MERTK	1	0	0	1
Dexamethasone	DNTT	1	0	0	1
Dexamethasone	IFNG	1	0	0.333333333333333	1
Dexamethasone	A2M	1	0	0	1
Dexamethasone	POLB	0.990848214	0	0	0.990848214
Dexamethasone	PLA2R1	0.333333333333333	0	0.333333333333333	0
Dexamethasone	ARG1	1	0	0.0952380952380952	1
Dexamethasone	RYR1	1	0	0	1
Dexamethasone	MT-ATP6	0.99997343	0	0	0.99997343
Dexamethasone	ZNF331	0.969784022	0	0	0.969784022
Dexamethasone	PDCD2	0.915381743	0	0	0.915381743
Dexamethasone	CANT1	0.900435948	0	0	0.900435948
Dexamethasone	NF1	1	0	0	1
Dexamethasone	ECI1	0.529118485	0	0	0.529118485
Dexamethasone	GRB7	0.763616206	0	0	0.763616206
Dexamethasone	NR3C2	1	1	0.904761904761905	0.999134983
Dexamethasone	CCNO	0.175214626	0	0	0.175214626
Dexamethasone	NPTXR	0.999957508	0	0	0.999957508
Dexamethasone	BACE1	1	0	0	1
Dexamethasone	RASA2	0.757129952	0	0	0.757129952
Dexamethasone	MAP1LC3A	0.99999967	0	0	0.99999967
Dexamethasone	FBLN5	0.999976126	0	0	0.999976126
Dexamethasone	B3GAT1	1	0	0	1
Dexamethasone	PRLR	0.999122080714286	0	0.761904761904762	0.996312739
Dexamethasone	IL24	1	0	0	1
Dexamethasone	CEBPG	0.48164636	0	0	0.48164636
Dexamethasone	PEG10	0.999946164	0	0	0.999946164
Dexamethasone	TRPV5	0.974872253	0	0	0.974872253
Dexamethasone	SP8	0.271808007	0	0	0.271808007
Dexamethasone	SEMA5B	0.997766651	0	0	0.997766651
Dexamethasone	RPS6KB2	0.67621303	0	0	0.67621303
Dexamethasone	TOX3	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	KIT	1	0	0	1
Dexamethasone	BBC3	0.890655494	0	0	0.890655494
Dexamethasone	REL	1	0	0	1
Dexamethasone	DIO1	0.997781469	0	0	0.997781469
Dexamethasone	EZR	0.999997863	0	0	0.999997863
Dexamethasone	OPN1LW	0.999576512	0	0	0.999576512
Dexamethasone	FMO2	0.357463947	0	0	0.357463947
Dexamethasone	ASPH	0.513512904	0	0	0.513512904
Dexamethasone	NCOR2	0.845915366	0	0	0.845915366
Dexamethasone	BATF	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	NPR2	0.999999643	0	0	0.999999643
Dexamethasone	SSB	1	0	0	1
Dexamethasone	GUCA2B	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	NR2F6	0.872565183	0	0	0.872565183
Dexamethasone	CFTR	1	1	0	1
Dexamethasone	PON1	1	0	0	1
Dexamethasone	SPINK1	0.999999991	0	0	0.999999991
Dexamethasone	SGCB	1	0	0	1
