Entry	Name	Description	Object	Legend
hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	"...ese channels can be modulated indirectly by inflammatory mediators such as PGE2, bradykinin, ATP, NG..."	"...ML4) 5606 (MAP2K3), 5608 (MAP2K6) hsa04750: Inflammatory mediator regulation of TRP channels hsa0059..."	Mast cell INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS P2YR B1/B2 5HTR TRPV1 ASIC IL1R TrkA I...
hsa05321	Inflammatory bowel disease (IBD) - Homo sapiens (human)	"Inflammatory bowel disease (IBD), which includes Crohn disease (CD) and ulcerative colitis (UC), is ..."	...(FOXP3) 50943 (FOXP3) 7099 (TLR4) hsa05321: Inflammatory bowel disease (IBD) hsa04620: Toll-like rec...	INFLAMMATORY BOWEL DISEASE (IBD) APC TLR2 NF-¦ÊB DNA NOD2 MDP PGN TLR5 Flagellin TLR2 Peptidoglyc...
hsa01523	Antifolate resistance - Homo sapiens (human)	"...malignant, microbial, parasitic and chronic inflammatory diseases. The molecular basis of the anti-p..."	"D00142 (Methotrexate (JP17/USP/INN)), D05589 (Pralatrexate (JAN/USAN/INN)), D04766 (Lometrexol sodiu..."	...FT Antifolate IKK NF-¦ÊB IL-6 IL-1 TNF Anti-inflammatory effects NF-¦ÊB signaling pathway SHT MTHFR ...
hsa04610	Complement and coagulation cascades - Homo sapiens (human)	"...sonization of pathogens, the recruitment of inflammatory and immunocompetent cells, and the direct k..."	...way hsa04611: Platelet activation hsa04750: Inflammatory mediator regulation of TRP channels	"...rtase) (C5 convertase) (C5 convertase) Anti-inflammatory responses,vasodilation, PAR3,4 EPCR Cross..."
hsa04657	IL-17 signaling pathway - Homo sapiens (human)	"...ys crucial roles in both acute and chronic inflammatory responses. IL-17A, the hallmark cytokine of..."	3551 (IKBKB) 6885 (MAP3K7) 1147 (CHUK) 7189 (TRAF6) 3569 (IL6) 257397 (TAB3) 23118 (TAB2) 4792 (NFKB...	...nses and suppresses Th17 cell responses Proinflammatory activities? Proinflammatory activities? DNA...
hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	...nnate immunity by inducing production of proinflammatory cytokines and upregulation of costimulatory...	3456 (IFNB1) 1147 (CHUK) 7189 (TRAF6) 3654 (IRAK1) 51135 (IRAK4) 4615 (MYD88) 4615 (MYD88) 4615 (MYD...	...s Autocrine / Paracrine DNA Degradation Inflammatory cytokines Proinflammatory effects Chemot...
hsa04217	Necroptosis - Homo sapiens (human)	"...ity transition pore, mitochondrial fission, inflammatory response and chromatinolysis. Necroptosis p..."	"C00076 (Calcium cation) C00305 (Magnesium cation) C00002 (ATP) C00027 (Hydrogen peroxide), C16844 (H..."	...Mitochonrial fission NLRP3 IL-1¦Â ASC Casp1 Inflammatory response JNK Ferritin Calpain Hsp90 Mitocho...
hsa05145	Toxoplasmosis - Homo sapiens (human)	...acquired by oral ingestion downmodulates proinflammatory signaling pathways via various mechanisms. ...	"C06314 (Lipoxin A4) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00076 (Calcium cation) 4615 (..."	...ing junction IL10 TGF¦Â IL10R IL10 DNA Anti-inflammatory effect Jak Glycoprotein Jak-STAT signaling ...
hsa05332	Graft-versus-host disease - Homo sapiens (human)	...cess. Step 1 involves the development of an inflammatory milieu resulting from damage in the host ti...	"C00533 (Nitric oxide) C00338 (Lipopolysaccharide) 3108 (HLA-DMA), 3109 (HLA-DMB), 3111 (HLA-DOA), 31..."	Cytokine-cytokine receptor interaction T cell receptor signaling pathway MHCII TCR Host APC Antigen ...
hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	"...f caspase-1 regulates maturation of the pro-inflammatory cytokines IL-1B, IL-18 and drives pyroptosi..."	"C00238 (Potassium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00002..."	...RX1 MAVS LUBAC Mitochondria ATG16LI LC3 Pro-inflammatory cytokines NFkB ATG12 ATG5 Autophagy TANK G...
