Path	Description	Genes
Rett syndrome causing genes	Protein - protein interaction between genes that are associated with Rett syndrome like phenotype according to the paper Ehrhart et al. 2018 "current developments in the genetics of Rett and Rett-like syndrome" Curr. Psy. 	SMARCA4&#10;,ACTL6B,GABRD,MECP2&#10;,CHD4,TAF1B,SCN1A,NCOR2,RHOBTB2,SCN8A,KCNQ2,HDAC8,EIF2B2,TRRAP,IMPDH2,HTT,GNAO1,KCNJ10,TBL1XR1,SCN2A,BRAF,TCF4,GPS2,MEF2C,HIVEP2,SYNE2,CECR2,GRIN2B,GRIN2A,NCOR1,CRK,STXBP1,SATB2,SMC1A,FOXG1&#10;,HDAC1,SYNGAP1,SMARCA1,SMARCA2&#10;,JARID1B&#10;,HDAC5,SRRM3,HAP1,XAB2,GABBR2,SHANK3,GABRA3,TBL1X,CDKL5&#10;
LDLRAD4 and what we know about it	A recent GWAS study was tweeted (https://twitter.com/BrentRichards19/status/1251550109931888643) showing a intronic SNP in LDLRAD4 as relevant. This pathway will summarize what is known of the biological role of this gene and its proteins.	TGFBR1,ATG16L1,PMEPA1,NEDD4,SMAD2,TGFBR2,LDLRAD4
Mitochondrial complex I assembly model OXPHOS system	This pathway shows how all 45 different subunits are assembled into complex 1 (relevant for the electron transport chain, also known as OXPHOS system), which chaperones(visualised with a small circle and a "C') and which post-translational modifications (a dimethylation on NDUFS2 and hydroxylation on NDUFS7, both in the Q-module) are needed for this assemblyMost of the steps involved in this intricate process have been described in separate literature references, which have been combined in a review by Alba Signes and Erika Fernandez-Vizarra[https://doi.org/10.1042/EBC20170098]. If possible (based on the size of the protein in KD and available protein structures in Uniprot), the colour of the protein structure drawings have been matched to the annotated protein DataNodesAbbreviations: IM, inner membrane; IMS, intermembrane space.	
IL-6 signaling pathway	IL-6 is a pleiotropic cytokine with important role in immune regulation, hematopoiesis, inflammation and oncogenesis. IL-6-type cytokines exert their action via the signal transducer gp130 that associates with IL6R in a cooperative manner to form a hexameric signal transducing complex, capable of activating the down stream mediators of this signaling pathway. This mechanism of signal transduction is shared by other members of the IL-6 type cytokines like IL-11, leukaemia inhibitory factor, oncostatin M, ciliary neurotrophic factor and cardiotrophin-1 that use gp130 as a common subunit of the signal transducing complex. IL-6 stimulation leads to the activation of JAK/STAT pathway. Both STAT1 and STAT3 are phosphorylated and are able to form homo- and heterodimers after activation leading to their nuclear localization and subsequent regulation of transcription of respective target genes. SHP-2 is one of the ubiquitous tyrosine phosphatases and IL-6 stimulation leads to the SHP2-dependent activation of MAPKs, it also links the Grb2-SOS complex and Gab1 to gp130. Phosphorylated Gab1 acts as an adapter and is involved in the indirect association of SHP-2 and PI-3 kinase. Downstream activation of Vav1, Rac-1 and MAP2K4 is necessary for the IL-6-mediated STAT3 phosphorylation and transactivation to accomplish its effects. STAT3 is also phosphorylated by PKCD and it causes inhibition of STAT3 DNA binding and transcriptional activity. PTPN11 and SOCS3 exert inhibitory function and thus lead to down regulation of the signaling cascade.Please access this pathway at [http://www.netpath.org/netslim/IL_6_pathway.html NetSlim] database.If you use this pathway, please cite the following paper:Kandasamy, K., Mohan, S. S., Raju, R., Keerthikumar, S., Kumar, G. S. S., Venugopal, A. K., Telikicherla, D., Navarro, J. D., Mathivanan, S., Pecquet, C., Gollapudi, S. K., Tattikota, S. G., Mohan, S., Padhukasahasram, H., Subbannayya, Y., Goel, R., Jacob, H. K. C., Zhong, J., Sekhar, R., Nanjappa, V., Balakrishnan, L., Subbaiah, R., Ramachandra, Y. L., Rahiman, B. A., Prasad, T. S. K., Lin, J., Houtman, J. C. D., Desiderio, S., Renauld, J., Constantinescu, S. N., Ohara, O., Hirano, T., Kubo, M., Singh, S., Khatri, P., Draghici, S., Bader, G. D., Sander, C., Leonard, W. J. and Pandey, A. (2010). NetPath: A public resource of curated signal transduction pathways. &lt;i&gt;Genome Biology&lt;/i&gt;. 11:R3.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP364 CPTAC Assay Portal]	
Steroid Biosynthesis	Steroidogenesis is the biological process by which steroids are generated from cholesterol and transformed into other steroids.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP496 CPTAC Assay Portal].	HSD17B4,Hydroxyprogesterone aldolase,HSD3B2,HSD3B1,Steroid-19-Hydroxylase,HSD17B1,CYP17A1,HSD17B2,HSD17B3,F13B,HSD17B7
Fluoropyrimidine Activity	The main mechanism of 5-FU activation is conversion to fluorodeoxyuridine monophosphate (FdUMP) which inhibits the enzyme thymidylate synthase (TYMS), an important part of the folate-homocysteine cycle and purine and pyrimidine synthesis The conversion of 5-FU to FdUMP can occur via thymidylate phosphorylase (TYMP) to fluorodeoxyuridine (FUDR) and then by the action of thymidine kinase to FdUMP or indirectly via fluorouridine monophosphate (FUMP) or fluroridine (FUR) to fluorouridine diphosphate (FUDP) and then ribonucleotide reductase action to FdUDP and FdUMP. FUDP and FdUDP can also be converted to FUTP and FdUTP and incorporated into RNA and DNA respectively which also contributes to the pharmacodynamic actions of fluoropyrimidines.Sources: [https://www.pharmgkb.org/pathway/PA150653776 PharmGKB:Fluoropyrimidine Pharmacokinetics], [https://www.pharmgkb.org/pathway/PA165291507 PharmGKB:Fluoropyrimidine Pharmacodynamics], [http://en.wikipedia.org/wiki/Fluorouracil Wikipedia:Fluorouracil]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1601 CPTAC Assay Portal]	SLC29A1,CES1,DHFR,GGH,ABCC3,CDA,ABCC4,DPYD,RRM2,RRM1,MIR29C,PPAT,ERCC2,UPP1,SLC22A7,DPYS,TP53,ABCC5,CYP2A6,TYMP,UCK2,MTHFR,SMUG1,UCK1,TK1,ABCG2,FPGS,TDG,XRCC3,TYMS,CES2,UPB1,UMPS,UPP2
MED and Pseudoachondroplasia genes	Adapted from: Genetic mouse models for the functional analysis of the perifibrillar components collagen IX, COMP and matrilin-3: Implications for growth cartilage differentiation and endochondral ossification by Frank Zaucke and Susanne Grässel [https://www.ncbi.nlm.nih.gov/pubmed/19554514].Model for supramolecular assembly of cartilage fibrils and filaments into fibrillar networks: Matrilin-3 and COMP act as adaptor molecules to interconnect D-periodically banded fibrils with each other and/or with collagen VI beaded filaments to generate a heterotypic fibrillar network. The interaction may be mediated either by matrilin-1 / -3 binding directly to collagenIX or via COMP, which associates with the NC domains of collagen IX.Linked with a dotted arrow to the GeneProduct nodes are diseases caused by mutation in the respective gene	COL9A3,MATN1,COL9A1,MATN3,COL9A2,COMP
Leptin Insulin Overlap	Overlap of cellular insulin and leptin signaling.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3935 CPTAC Assay Portal]	IRS4,SOCS2,INS,PIK3R3,Irs3,IRS1,STAT3,SOCS1,SOCS3,INSR,LEP,LEPR,JAK2,IRS2,DGKZ,PIK3CG,PDPK1,AKT1
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	When transported into the inner mitochondrial matrix, pyruvate encounters two principal metabolizing enzymes: pyruvate carboxylase, PC (a gluconeogenic enzyme) and pyruvate dehydrogenase (PDH), the first enzyme of the PDH complex (PDHc). With a high cell-energy charge, co-enzyme A (CoA) is highly acylated, principally as acetyl-CoA, and able to obligately activate pyruvate carboxylase, directing pyruvate toward gluconeogenesis. When the energy charge is low, CoA is not acylated, therefore, pyruvate carboxylase is inactive, and pyruvate is preferentially metabolized via the PDHc and the TCA cycle to CO2 and H2O. The acetyl-CoA produced by the PDHc enters the TCA cycle and the reduced electron carriers (NADH and FADH2) that are generated during the oxidative reactions can then be used to drive ATP synthesis via oxidative phosphorylationDescription source: [https://themedicalbiochemistrypage.org/tca-cycle.php The Medical Biochemistryp Page]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2453 CPTAC Assay Portal].	IDH1,SDHA,ACLY,SUCLG2,MDH1,OGDH,DLST,ACO1,PDHA1,FH,IDH3A,PC,DLAT,DLD,PCK1,CS
Disorders of Folate Metabolism and Transport	Folates play an essential role in one-carbon methyl transfer reactions, mediating several biological processes (e.g. DNA synthesis, epigentics by methylation, embryonic central nervous system development, cata-/anabolism of amino acids, and anabolism of thymidines, purines, and neurotransmitters. The biologically active folic acid derivative is 5,6,7,8-tetrahydrofolate (THF). Dietary folate is absorbed in the intestine, and stored in the liver for few months. [rephrased from chapter 10 of Blau et al, ISBN 3642403360 (978-3642403361)]. For more detail on MTHFR deficiency, please visit [https://www.wikipathways.org/index.php/Pathway:WP4288].	MTHFD1
