Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Prednisolone	ADRB2	0.095238095	0	0.095238095	0
Prednisolone	NTRK2	0.215	0	0	0.215
Prednisolone	PDP1	0.214	0	0	0.214
Prednisolone	BET3L	0.242	0	0	0.242
Prednisolone	ABHD3	0.186	0	0	0.186
Prednisolone	PDP2	0.214	0	0	0.214
Prednisolone	AVP	0.333333333	0	0.333333333	0
Prednisolone	SETX	0.193	0	0	0.193
Prednisolone	PTGER3	0.142857143	0	0.142857143	0
Prednisolone	JAK3	0.095238095	0	0.095238095	0
Prednisolone	ADHFE1	0.263	0	0	0.263
Prednisolone	NLRP3	0.095238095	0	0.095238095	0
Prednisolone	IL23A	0.095238095	0	0.095238095	0
Prednisolone	AHR	0.5	0.5	0	0
Prednisolone	RPS29	0.295	0	0	0.295
Prednisolone	IL5	0.31	0	0	0.31
Prednisolone	TOP2B	0.278	0	0	0.278
Prednisolone	TAT	0.197	0	0	0.197
Prednisolone	RPL13	0.184	0	0	0.184
Prednisolone	ENSG00000224712	0.237	0	0	0.237
Prednisolone	MEF2C	0.333333333	0	0.333333333	0
Prednisolone	CDK3	0.171	0	0	0.171
Prednisolone	NFKB1	0.18	0	0	0.18
Prednisolone	NOS1	0.596	0	0	0.596
Prednisolone	NR2F6	0.306	0	0	0.306
Prednisolone	GOT1	0.267	0	0	0.267
Prednisolone	FRZB	0.095238095	0	0.095238095	0
Prednisolone	E2F8	0.095238095	0	0.095238095	0
Prednisolone	CPS1	0.095238095	0	0.095238095	0
Prednisolone	HNRNPL	0.175	0	0	0.175
Prednisolone	EXOC2	0.174	0	0	0.174
Prednisolone	LEF1	0.095238095	0	0.095238095	0
Prednisolone	PPIAL4D	0.047619048	0	0.047619048	0
Prednisolone	HOXD3	0.19	0	0	0.19
Prednisolone	FLNC	0.347	0	0	0.347
Prednisolone	APH1A	0.181	0	0	0.181
Prednisolone	HEMK1	0.177	0	0	0.177
Prednisolone	RUNX2	0.215	0	0	0.215
Prednisolone	PTEN	0.181	0	0	0.181
Prednisolone	TDP1	0.5	0.5	0	0
Prednisolone	HPR	0.175	0	0	0.175
Prednisolone	GNRH1	0.095238095	0	0.095238095	0
Prednisolone	PTH	0.202	0	0	0.202
Prednisolone	BMP3	0.196	0	0	0.196
Prednisolone	FAS	0.259904762	0	0.095238095	0.182
Prednisolone	BTRC	0.41	0	0	0.41
Prednisolone	HP	0.177	0	0	0.177
Prednisolone	OTUD7B	0.095238095	0	0.095238095	0
Prednisolone	NAAA	0.174	0	0	0.174
Prednisolone	RBM14	0.095238095	0	0.095238095	0
Prednisolone	CD19	0.219	0	0	0.219
Prednisolone	ASPG	0.319	0	0	0.319
Prednisolone	LDHC	0.199	0	0	0.199
Prednisolone	RAB12	0.171	0	0	0.171
Prednisolone	ALDH1A1	0.229	0	0	0.229
Prednisolone	HOXA9	0.209	0	0	0.209
Prednisolone	MESP1	0.095238095	0	0.095238095	0
Prednisolone	CD52	0.185	0	0	0.185
Prednisolone	NDUFAB1	0.201	0	0	0.201
Prednisolone	PGR	0.452285714	0	0.142857143	0.361
Prednisolone	ENSG00000264813	0.277	0	0	0.277
Prednisolone	CCL19	0.333333333	0	0.333333333	0
Prednisolone	PDE3A	0.047619048	0	0.047619048	0
Prednisolone	CCL5	0.095238095	0	0.095238095	0
Prednisolone	ATP1A1	0.333333333	0	0.333333333	0
Prednisolone	THRA	0.306	0	0	0.306
Prednisolone	TF	0.095238095	0	0.095238095	0
Prednisolone	PPIAL4F	0.047619048	0	0.047619048	0
Prednisolone	ENSG00000236954	0.177	0	0	0.177
Prednisolone	PDE7B	0.238095238	0	0.238095238	0
Prednisolone	MTRR	0.457	0	0	0.457
Prednisolone	HAS1	0.095238095	0	0.095238095	0
Prednisolone	CCNI	0.232	0	0	0.232
Prednisolone	CTSL	0.095238095	0	0.095238095	0
Prednisolone	AGT	0.095238095	0	0.095238095	0
Prednisolone	PPARD	0.686047619	0.5	0.095238095	0.306
Prednisolone	NR2E1	0.306	0	0	0.306
Prednisolone	NCOA1	0.095238095	0	0.095238095	0
Prednisolone	BLVRB	0.142857143	0	0.142857143	0
Prednisolone	IFNB1	0.297	0	0.095238095	0.223
Prednisolone	VPS33B	0.248	0	0	0.248
Prednisolone	VPS33A	0.248	0	0	0.248
Prednisolone	WNT1	0.095238095	0	0.095238095	0
Prednisolone	YWHAH	0.095238095	0	0.095238095	0
Prednisolone	ANO6	0.178	0	0	0.178
Prednisolone	UTRN	0.665	0	0	0.665
Prednisolone	NET1	0.095238095	0	0.095238095	0
Prednisolone	ENSG00000214940	0.237	0	0	0.237
Prednisolone	PIK3R2	0.189	0	0	0.189
Prednisolone	SMTNL2	0.237	0	0	0.237
Prednisolone	ENSG00000183793	0.237	0	0	0.237
Prednisolone	PCSK4	0.18	0	0	0.18
Prednisolone	ENSG00000269469	0.229	0	0	0.229
Prednisolone	N6AMT1	0.177	0	0	0.177
Prednisolone	LSM1	0.252	0	0	0.252
Prednisolone	PLA2G1B	0.095238095	0	0.095238095	0
Prednisolone	VCAM1	0.179	0	0	0.179
Prednisolone	TNFSF18	0.095238095	0	0.095238095	0
Prednisolone	PLG	0.095238095	0	0.095238095	0
Prednisolone	SPTA1	0.237	0	0	0.237
Prednisolone	JUN	0.629	0.5	0	0.258
Prednisolone	AR	1	1	0.619047619	0.359
Prednisolone	CMAS	0.2	0	0	0.2
Prednisolone	CRABP1	0.232	0	0	0.232
Prednisolone	TRAPPC5	0.276	0	0	0.276
Prednisolone	GPAM	0.207	0	0	0.207
Prednisolone	MICAL1	0.237	0	0	0.237
Prednisolone	FFAR1	0.095238095	0	0.095238095	0
Prednisolone	E2F7	0.095238095	0	0.095238095	0
Prednisolone	SNX10	0.333333333	0	0.333333333	0
Prednisolone	IGF1	0.736	0	0	0.736
Prednisolone	PRLR	0.142857143	0	0.142857143	0
Prednisolone	PRKCD	0.238095238	0	0.238095238	0
Prednisolone	PLS1	0.237	0	0	0.237
Prednisolone	NR0B1	0.933904762	0	0.904761905	0.306
Prednisolone	ACSL3	0.095238095	0	0.095238095	0
Prednisolone	CD5	0.312	0	0	0.312
Prednisolone	RIPK2	0.333333333	0	0.333333333	0
Prednisolone	PPP5C	0.095238095	0	0.095238095	0
Prednisolone	INHBA	0.204	0	0	0.204
Prednisolone	IL17A	0.173	0	0	0.173
Prednisolone	ADA	0.095238095	0	0.095238095	0
Prednisolone	RELB	0.095238095	0	0.095238095	0
Prednisolone	ALDH1A2	0.229	0	0	0.229
Prednisolone	PRKCB	0.047619048	0	0.047619048	0
Prednisolone	CSF3	0.266	0	0	0.266
Prednisolone	ITGAL	0.095238095	0	0.095238095	0
Prednisolone	PRKCG	0.047619048	0	0.047619048	0
Prednisolone	ALDH2	0.229	0	0	0.229
Prednisolone	SIX1	0.095238095	0	0.095238095	0
Prednisolone	LOC728888	0.237	0	0	0.237
Prednisolone	ENSG00000214967	0.237	0	0	0.237
Prednisolone	OTP	0.193	0	0	0.193
Prednisolone	HLA-DRB1	0.255	0	0	0.255
Prednisolone	MECOM	0.095238095	0	0.095238095	0
Prednisolone	RAB7A	0.18	0	0	0.18
Prednisolone	PPARGC1A	0.246	0	0	0.246
Prednisolone	HNF1B	0.095238095	0	0.095238095	0
Prednisolone	HLCS	0.208	0	0	0.208
Prednisolone	PDE4D	0.238095238	0	0.238095238	0
Prednisolone	POLE	0.251	0	0	0.251
Prednisolone	CCNG1	0.232	0	0	0.232
Prednisolone	ZAK	0.171	0	0	0.171
Prednisolone	ARRDC3	0.225	0	0	0.225
Prednisolone	HAS2	0.095238095	0	0.095238095	0
Prednisolone	HDAC2	0.095238095	0	0.095238095	0
Prednisolone	ALPP	0.269	0	0	0.269
Prednisolone	CD40LG	0.392	0	0	0.392
Prednisolone	NR6A1	0.306	0	0	0.306
Prednisolone	CD86	0.095238095	0	0.095238095	0
Prednisolone	IL1B	1	1	0	0
Prednisolone	FOXJ1	0.19	0	0	0.19
Prednisolone	MEOX1	0.193	0	0	0.193
Prednisolone	ME3	0.302	0	0	0.302
Prednisolone	F3	0.265	0	0	0.265
Prednisolone	EIF2S3	0.263	0	0	0.263
Prednisolone	CYP51A1	0.184	0	0	0.184
Prednisolone	TMEM27	0.333333333	0	0.333333333	0
Prednisolone	ACP2	0.234	0	0	0.234
Prednisolone	GNRHR	0.047619048	0	0.047619048	0
Prednisolone	RXRB	0.306	0	0	0.306
Prednisolone	KIAA1804	0.171	0	0	0.171
Prednisolone	ME1	0.302	0	0	0.302
Prednisolone	ERBB2	0.095238095	0	0.095238095	0
Prednisolone	GNPAT	0.287	0	0	0.287
Prednisolone	ZBTB16	0.3	0	0	0.3
Prednisolone	PXDN	0.2	0	0	0.2
Prednisolone	LCP1	0.237	0	0	0.237
Prednisolone	ISCU	0.174	0	0	0.174
Prednisolone	APOC2	0.095238095	0	0.095238095	0
Prednisolone	SYNE2	0.237	0	0	0.237
Prednisolone	FASLG	0.095238095	0	0.095238095	0
Prednisolone	NPIPL3	0.237	0	0	0.237
Prednisolone	CLMN	0.237	0	0	0.237
Prednisolone	PTGER4	0.142857143	0	0.142857143	0
Prednisolone	ACTN4	0.237	0	0	0.237
Prednisolone	FURIN	0.18	0	0	0.18
Prednisolone	RASEF	0.171	0	0	0.171
Prednisolone	TGFB1	0.218	0	0	0.218
Prednisolone	KTI12	0.187	0	0	0.187
Prednisolone	NID1	0.194	0	0	0.194
Prednisolone	TRPV1	0.619047619	0	0.619047619	0
Prednisolone	CXCL12	0.194	0	0	0.194
Prednisolone	EHBP1L1	0.237	0	0	0.237
Prednisolone	HIF1A	0.5	0.5	0	0
Prednisolone	APH1B	0.181	0	0	0.181
Prednisolone	CD68	0.18	0	0	0.18
Prednisolone	CCNB2	0.307	0	0	0.307
Prednisolone	IL4	0.897761905	0	0.095238095	0.887
Prednisolone	AKT2	0.333333333	0	0.333333333	0
Prednisolone	MT-ATP6	0.18	0	0	0.18
Prednisolone	PAPSS1	0.2	0	0	0.2
Prednisolone	TOP2A	0.248	0	0	0.248
Prednisolone	NTRK3	0.215	0	0	0.215
Prednisolone	ATP12A	0.172	0	0	0.172
Prednisolone	THRB	0.306	0	0	0.306
Prednisolone	RNASEH1	0.183	0	0	0.183
Prednisolone	GSC	0.193	0	0	0.193
Prednisolone	SLC5A7	0.177	0	0	0.177
Prednisolone	POLR2F	0.178	0	0	0.178
Prednisolone	NFE2L2	1	1	0	0
Prednisolone	PDE4A	0.238095238	0	0.238095238	0
Prednisolone	TLR3	0.19	0	0	0.19
Prednisolone	TAC1	0.8	0	0	0.8
Prednisolone	ESR2	0.306	0	0	0.306
Prednisolone	TYW1	0.335	0	0	0.335
Prednisolone	TCP1	0.095238095	0	0.095238095	0
Prednisolone	SMARCAL1	0.095238095	0	0.095238095	0
Prednisolone	ANXA4	0.333333333	0	0.333333333	0
Prednisolone	MASP1	0.316	0	0	0.316
Prednisolone	ANGPTL3	0.095238095	0	0.095238095	0
Prednisolone	CYP7B1	0.184	0	0	0.184
Prednisolone	SNCB	0.095238095	0	0.095238095	0
Prednisolone	SIX4	0.095238095	0	0.095238095	0
Prednisolone	NCAM1	0.213	0	0	0.213
Prednisolone	ITGB2	0.095238095	0	0.095238095	0
Prednisolone	SLC4A7	0.332	0	0	0.332
Prednisolone	ENPP1	0.047619048	0	0.047619048	0
Prednisolone	MICAL2	0.237	0	0	0.237
Prednisolone	IL15	0.38	0	0	0.38
Prednisolone	PCSK5	0.18	0	0	0.18
Prednisolone	APOA2	0.095238095	0	0.095238095	0
Prednisolone	PEPD	0.269	0	0	0.269
Prednisolone	CLOCK	0.095238095	0	0.095238095	0
Prednisolone	ATP1A4	0.047619048	0	0.047619048	0
Prednisolone	NR2C2	0.371	0	0	0.371
Prednisolone	MEOX2	0.193	0	0	0.193
Prednisolone	SERPINE2	0.095238095	0	0.095238095	0
Prednisolone	BGLAP	0.234	0	0	0.234
Prednisolone	RBM42	0.354	0	0	0.354
Prednisolone	PTPN22	0.474	0	0.333333333	0.211
Prednisolone	ABAT	0.8	0	0	0.8
Prednisolone	SLC25A48	0.175	0	0	0.175
Prednisolone	SMUG1	0.214	0	0	0.214
Prednisolone	ESR1	0.702571429	0.5	0.142857143	0.306
Prednisolone	MICALL2	0.237	0	0	0.237
Prednisolone	TRAPPC6A	0.258	0	0	0.258
Prednisolone	RC3H1	0.095238095	0	0.095238095	0
Prednisolone	IFNA2	0.095238095	0	0.095238095	0
Prednisolone	NR0B2	0.306	0	0	0.306
Prednisolone	TNFSF4	0.095238095	0	0.095238095	0
Prednisolone	NCOA6	0.095238095	0	0.095238095	0
Prednisolone	PDE4C	0.238095238	0	0.238095238	0
Prednisolone	STAT6	0.095238095	0	0.095238095	0
Prednisolone	ATP4A	0.172	0	0	0.172
Prednisolone	HDHD3	0.192	0	0	0.192
Prednisolone	DMD	0.806	0	0	0.806
Prednisolone	IL23R	0.095238095	0	0.095238095	0
Prednisolone	HAP1	0.095238095	0	0.095238095	0
Prednisolone	NDOR1	0.335	0	0	0.335
Prednisolone	TNFRSF1B	0.437	0	0	0.437
Prednisolone	CRY1	0.412809524	0	0.095238095	0.351
Prednisolone	ANXA8	0.333333333	0	0.333333333	0
Prednisolone	LRP1	0.095238095	0	0.095238095	0
Prednisolone	GAS2L2	0.237	0	0	0.237
Prednisolone	ACTN2	0.237	0	0	0.237
Prednisolone	HMBS	0.203	0	0	0.203
Prednisolone	ACACB	0.194	0	0	0.194
Prednisolone	CD40	0.188	0	0	0.188
